Mã KH,Khách hàng,Loại Khách hàng
KH-0001,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ BÁCH KHOA,CTY - DN
KH-0002,Công ty CP Phát triển Kỹ thuật và Thương mại Tân Đức,CTY - DN
KH-0003,NGƯỜI MUA KHÔNG LẤY HÓA ĐƠN,Khách lẻ
KH-0004,CÔNG TY TNHH PRO ACTIVE GLOBAL VIỆT NAM,CTY - DN
KH-0005,Công ty TNHH Công nghệ Ktech,CTY - DN
KH-0006,NGÂN HÀNG TMCP Á CHÂU,CTY - DN
KH-0007,Công ty TNHH Tích Hợp Hệ thống CMC Sài Gòn,CTY - DN
KH-0008,CN Cty TNHH Máy Tính Nét (TP. Hà Nội),CTY - DN
KH-0009,CỬA HÀNG VI TÍNH PHÁT ĐẠT BÌNH DƯƠNG,CTY - DN
KH-0010,CN CTY TNHH KDDI VN TẠI TP. HCM,CTY - DN
KH-0011,DNTN VŨ CÁNH,CTY - DN
KH-0012,CÔNG TY TNHH NAVIC VÀ KUNSHIN VIỆT NAM,CTY - DN
KH-0013,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TRIỂN CÔNG NGHỆ SÀI GÒN,CTY - DN
KH-0014,CTY TNHH SOFTWAREONE VIỆT NAM,CTY - DN
KH-0015,CÔNG TY TNHH THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU AN NAM,CTY - DN
KH-0016,Văn phòng thường trú Taisei Corporation tại Tp HCM,CTY - DN
KH-0017,CÔNG TY TNHH QUẢNG CÁO VÀ TRUYỀN THÔNG THẾ HỆ MỚI,CTY - DN
KH-0018,CÔNG TY TNHH TM DV CÔNG NGHỆ MỘT THÀNH VIÊN PHÚ AN,CTY - DN
KH-0019,CÔNG TY TNHH DUY NGUYỄN MPS,CTY - DN
KH-0020,CTY TNHH TRÚC XUÂN,CTY - DN
KH-0021,CÔNG TY CỔ PHẦN GĂNG VIỆT,CTY - DN
KH-0022,Khách lẻ,Khách lẻ
KH-0023,CÔNG TY CỔ PHẦN BỆNH VIỆN MẮT QUỐC TẾ HOÀN MỸ SÀI GÒN,CTY - DN
KH-0024,Công Ty TNHH Phần Mềm Kỷ Nguyên Số,CTY - DN
KH-0025,CÔNG TY TNHH SOLID & SOFT,CTY - DN
KH-0026,CÔNG TY TNHH DGS LOGISTICS,CTY - DN
KH-0027,CÔNG TY TNHH GIAO NHẬN KỶ OAI RỒNG CHI NA,CTY - DN
KH-0028,CÔNG TY TNHH ALTUS GROUP (VIỆT NAM),CTY - DN
KH-0029,CÔNG TY TNHH SHOWA BRAIN NAVI VIỆT NAM,CTY - DN
KH-0030,Công ty TNHH TM DV Thiết bị số Huy Phát,CTY - DN
KH-0031,Công ty TNHH Winning Access Property Việt Nam,CTY - DN
KH-0032,CÔNG TY TNHH MAINETTI (VIỆT NAM),CTY - DN
KH-0033,CÔNG TY TNHH CƠ KHÍ MINH ĐỨC,CTY - DN
KH-0034,CÔNG TY TNHH CBRE (VIỆT NAM),CTY - DN
KH-0035,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP LONG SƠN,CTY - DN
KH-0036,CÔNG TY TNHH TIN HỌC VIỄN THÔNG VINAFORE,CTY - DN
KH-0037,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN THIẾT BỊ TIN HỌC AN PHÚ,CTY - DN
KH-0038,CÔNG TY TNHH EPSON VIỆT NAM,CTY - DN
KH-0039,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BẢN VIỆT,CTY - DN
KH-0040,CÔNG TY TNHH KỸ THUẬT VÀ CÔNG NGHỆ MINH ANH,CTY - DN
KH-0041,Công ty Luật TNHH GRUENKORN & PARTNER,CTY - DN
KH-0042,CÔNG TY LUẬT TNHH QUỐC TẾ VIỆT NAM (VILAF – HỒNG ĐỨC),CTY - DN
KH-0043,CÔNG TY  TNHH  TM DV  TRANG THIẾT BỊ Y TẾ TPT MIỀN NAM,CTY - DN
KH-0044,CÔNG TY TRÁCH NHIỆM HỮU HẠN ORGANO VIỆT NAM,CTY - DN
KH-0045,CÔNG TY TRÁCH NHIỆM HỮU HẠN  NTT DATA VIỆT NAM,CTY - DN
KH-0046,CÔNG TY CỔ PHẦN XÂY DỰNG THƯƠNG MẠI VÀ DỊCH VỤ ACT,CTY - DN
KH-0047,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC VIỄN THÔNG THỊNH PHÁT,CTY - DN
KH-0048,CÔNG TY TNHH TƯ VẤN THIẾT KẾ TUỆ QUANG PT,CTY - DN
KH-0049,CÔNG TY TNHH WINS SOFT,CTY - DN
KH-0050,CÔNG TY TNHH AMOREPACIFIC VIỆT NAM,CTY - DN
KH-0051,CÔNG TY TNHH GIẢI PHÁP TÍCH HỢP HỆ THỐNG H.N.T.C,CTY - DN
KH-0052,CÔNG TY CỔ PHẦN SAO VIỆT,CTY - DN
